No.	Group name:	SAMPLE07	SAMPLE19	SAMPLE20	SAMPLE09	SAMPLE18	SAMPLE06	SAMPLE16	SAMPLE17	SAMPLE25	SAMPLE08	SAMPLE05	SAMPLE15	SAMPLE11	SAMPLE13	SAMPLE10	SAMPLE14	SAMPLE23	SAMPLE24	SAMPLE21	SAMPLE22	SAMPLE02	SAMPLE12	SAMPLE01	SAMPLE03	SAMPLE04	no hit	
1	CL001	0	0	0	16	0	0	0	0	19	19	5	10	19	11	7	6	20	14	13	10	6	7	6	2	2	0	
2	CL002	6	0	0	0	41	13	29	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
3	CL003	0	0	0	5	0	0	0	0	1	10	23	6	0	0	7	5	10	2	0	4	14	0	4	9	5	0	
4	CL004	0	0	0	5	0	0	0	0	3	8	1	39	7	2	4	15	1	0	1	1	2	0	0	0	3	0	
5	CL005	0	0	0	6	0	0	0	0	0	6	35	4	9	5	9	1	0	0	0	0	3	0	3	5	5	0	
6	CL006	0	0	0	8	0	1	1	0	6	5	4	1	12	1	2	3	2	2	5	5	2	3	8	4	0	0	
7	CL007	2	0	0	0	0	1	0	0	10	4	0	4	1	5	0	8	4	13	6	3	2	4	2	1	4	0	
8	CL008	0	0	1	31	0	0	0	0	1	15	1	0	0	0	11	1	0	0	0	0	1	0	2	1	0	0	
9	CL009	0	33	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
10	CL010	19	7	6	0	1	8	2	5	1	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	
11	CL011	0	0	0	0	0	0	0	0	8	0	0	2	3	21	0	2	1	1	0	0	0	6	0	0	0	0	
12	CL012	7	0	2	0	9	7	10	8	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	
13	CL013	5	2	1	7	3	3	5	3	1	0	0	0	0	2	1	1	0	1	1	0	1	2	0	0	0	0	
14	CL014	4	7	7	0	6	2	4	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
15	CL015	0	0	0	0	0	0	0	0	1	2	0	2	7	5	5	3	2	3	0	0	0	3	2	0	0	0	
16	CL016	0	0	0	0	0	0	0	0	6	0	0	1	1	3	0	1	0	0	8	4	0	1	0	0	0	0	
17	CL017	0	1	0	1	0	0	0	0	6	1	2	0	2	2	2	2	1	0	1	2	0	0	1	0	0	0	
18	CL018	8	0	1	0	1	7	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
19	CL019	0	0	0	4	0	0	1	0	4	1	2	0	0	0	2	0	0	1	4	1	0	0	0	0	0	0	
20	CL020	7	1	1	0	1	4	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
21	CL021	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
22	CL022	3	0	0	0	3	3	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
23	CL023	3	1	1	0	0	3	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
24	CL024	0	0	0	7	0	0	0	0	0	0	0	0	1	1	2	0	0	0	0	0	0	1	0	0	0	0	
25	CL025	0	1	3	0	2	2	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
26	CL026	3	4	0	0	0	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
27	CL027	5	2	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
28	CL028	0	0	0	1	0	0	0	0	2	0	0	0	1	0	0	0	0	4	1	0	0	0	0	0	0	0	
29	CL029	0	0	0	2	0	1	1	0	0	2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	
30	CL030	0	0	0	0	0	0	0	0	4	0	0	0	0	1	0	0	0	0	0	3	0	0	1	0	0	0	
31	CL031	2	0	0	0	0	5	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
32	CL032	2	1	0	0	2	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
33	CL033	1	1	0	0	0	3	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
34	CL034	0	1	1	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	
